# Generated by tools/wikispec_fetch.py on 2026-09-05. Do not edit by hand.
# Source: the per-car articles on en.wikipedia.org, {{Racing car}} infobox. CC BY-SA 4.0.
# Every row was checked against F1DB for constructor and seasons before it was written; see car_specs.log.
# article|chassis_ids|constructor_id|first_year|last_year|designers|chassis_type|susp_front|susp_rear|engine_name|engine_config|aspiration|engine_position|gearbox|gears|brakes|fuel|lubricants|tyres|predecessor|successor|debut|power_note|capacity_cc|power_bhp|weight_kg|wheelbase_mm|track_front_mm|track_rear_mm|fuel_l|races|wins|poles|fastest_laps|podiums|drivers_titles|constructors_titles
Maserati 250F|maserati-250f|maserati|1954|1960|Gioacchino Colombo; Valerio Colotti|Aluminium tubular ladder frame|Independent wishbone|De Dion tube|Maserati|1954 – 2493 cc, straight 6; 1957 – 2491 cc works cars V12|naturally aspirated|All models: front engine, longitudinally mounted|1954: Maserati 4 speed manual; 1956: Stirnsi|5 speed||50% methanol, 35% petrol, 10% acetone, 4% benzol, 1% castor oil||Pirelli|Maserati A6GCM|Maserati 300S|1954 Argentine Grand Prix, J.M. Fangio, 1st|||||||||46|8|8|10||2|0
Matra MS10|matra-ms10|matra|1968|1969|Bernard Boyer|Aluminium monocoque|||Ford Cosworth DFV|V8|NA|mid-engined|Hewland DG300|5 speed||Elf||Dunlop|MS9|MS80|1968 Spanish Grand Prix||2993||540|||||12|4|0|4|6|1|1
Matra MS11|matra-ms11|matra|1968|1968|Gerard Ducarouge; Bernard Boyer|Aluminium monocoque|||Matra MS9|V12|NA|mid-engined|Hewland DG300/FG 400|5 speed||Elf||Dunlop|MS7|MS80|1968 Monaco Grand Prix||2993||580|||||10|0|0|1|1|0|0
Matra MS120|matra-ms120+matra-ms120b|matra|1970|1971|Gerard Ducarouge; Bernard Boyer|Aluminium monocoque|||Matra|V12|naturally aspirated|mid-engined|Hewland DG300|5 speed||Elf||Goodyear|MS80 / MS84||1970 South African Grand Prix||2993|||||||35|0|2|3|5||
Matra MS5|matra-ms5|matra|1966|1967||Aluminium monocoque, with engine as a fully stressed member.|||Ford Cosworth FVA, Ford Cosworth SCA, or BRM P80|L4|naturally aspirated|mid-mounted.|Hewland TL 200|5-speed||||Dunlop||Matra MS7|1966 German Grand Prix||1000|||||||3|0|0|0|||
Matra MS7|matra-ms7|matra|1967|1969|Bernard Boyer|Aluminium monocoque|||Ford Cosworth FVA L4||||Hewland FG 200|5-speed||Elf||Dunlop, Goodyear|MS5|MS9 / MS11|1967 United States Grand Prix||1598|||||||4|0|0|0|0||
Matra MS80|matra-ms80|matra|1969|1969|Gérard Ducarouge; Bernard Boyer|Aluminium monocoque|||Ford Cosworth DFV|V8|NA|mid-engined|Hewland DG300|5 speed||Elf||Dunlop|MS10 / MS11|MS84 / MS120|1969 Spanish Grand Prix|NNN hp|2993||540|||||10|5|2|5|9|1|1
Matra MS84|matra-ms84|matra|1969|1969|Bernard Boyer|Steel spaceframe|||Ford Cosworth DFV|V8|NA|mid-engined|Ferguson / Hewland|5 speed||Elf||Dunlop|Matra MS80|Matra MS120|1969 British Grand Prix||2993|||||||4|0|0|0||0|0
Matra MS9|matra-ms9|matra|1968|1968|Gerard Ducarouge; Bernard Boyer|Aluminium monocoque|||Ford Cosworth DFV|V8|NA|mid-engined|Hewland|5 speed||Elf||Dunlop|MS7|MS10|1968 South African Grand Prix|NNN hp|2993||540|||||1|0|0|0|0|0|0
McLaren M14A|mclaren-m14a|mclaren|1970|1971|Gordon Coppuck|Aluminium monocoque.|Double wishbone.|Double wishbone.|Ford-Cosworth DFV|90° V8|naturally aspirated|mid-mounted.|Hewland DG300|5-speed|||||M7A / M9A|M19A|1970 South African Grand Prix||2993||536|||||18|0|0|0|||
McLaren M19A|mclaren-m19a|mclaren|1971|1973|Ralph Bellamy ; Ray Stokoe|Aluminium monocoque.|Double wishbone.|Double wishbone.|Ford-Cosworth DFV|90° V8|naturally aspirated|mid-mounted.|Hewland DG400|5-speed|||||M14A|M23|1971 South African Grand Prix||2993||560|||||25|1|1|3|13||
McLaren M23|mclaren-m23+mclaren-m23b|mclaren|1973|1978|Gordon Coppuck ; John Barnard ; Dave Quill ; Ray Stokoe|Aluminium monocoque.|Double wishbone, with inboard coilover shock absorbers.|Double wishbone.|Ford-Cosworth DFV|90° V8|naturally aspirated|mid-mounted.|Hewland FG400|5/6-speed|||||M19C|M26|1973 South African Grand Prix|465 hp @ 10,800 rpm; 280 lbft torque|2993|465||||||83|16|14|10||2|1
McLaren M26|mclaren-m26|mclaren|1976|1979|Gordon Coppuck ; Steve Harvey ; Dave Quill ; Ray Stokoe|Aluminium monocoque.|Double wishbone, with inboard coilover shock absorbers.|Double wishbone.|Ford-Cosworth DFV|90° V8|naturally aspirated|mid-mounted.|Hewland DG400|6-speed||Texaco||Goodyear|M23|M28|1976 Dutch Grand Prix||2993||585|||||31|3|3|1|||
McLaren M28|mclaren-m28+mclaren-m28b+mclaren-m28c|mclaren|1979|1979|Gordon Coppuck Gordon Coppuck ; Steve Harvey ; Dave Quill ; Ray Stokoe|Aluminium monocoque|||Ford-Cosworth DFV|V8|naturally aspirated|mid-engined, longitudinally mounted|McLaren / Hewland FGA 400/6|6-speed||Castrol||Goodyear|McLaren M26|McLaren M29|1979 Argentine Grand Prix||2993|||||||9|0|0|0|||
McLaren M29|mclaren-m29+mclaren-m29b+mclaren-m29c|mclaren|1979|1980|Gordon Coppuck|Aluminium monocoque|||Ford-Cosworth DFV|V8|naturally aspirated|mid-engined, longitudinally mounted|McLaren / Hewland FGA 400/6|6-speed||||Goodyear|McLaren M28|McLaren M30 technical; McLaren MP4/1 chronological racing order|1979 British Grand Prix|See Table|2993||||1727|1727||26|0|0|0|||
McLaren M2B|mclaren-m2b|mclaren|1966|1966|Robin Herd|Mallite-aluminium alloy monocoque, with steel bulkheads|Upper radius arm and lower wishbone, with rocker-arm operated, inboard coilover spring/dampers|Upper transverse link and radius arm with reversed lower wishbone. Outboard coilover spring/dampers|Ford 406 3.0 litre V8, Naturally aspirated, mid-mounted ; Serenissima M166 3.0 litre V8, Naturally aspirated, mid-mounted|||Mid-engine, rear-wheel-drive|ZF|4- and 5-speed||||Firestone||M4B|1966 Monaco Grand Prix|300-315 hp @ 9,600 rpm; 221 lbft torque||315|535|||||6|0|0|0||0|0
McLaren M30|mclaren-m30|mclaren|1980|1980|Gordon Coppuck|Aluminium monocoque|||Ford-Cosworth DFV|V8|naturally aspirated|mid-engined, longitudinally mounted|McLaren / Hewland FG 400|5-speed|||||McLaren M29|McLaren MP4/1|1980 Dutch Grand Prix||2993|||||||4|0|0|0|||
McLaren M4B|mclaren-m4b|mclaren|1967|1967|Robin Herd|Aluminium monocoque|Single top link with radius arms and lower wishbones, outboard coil spring/shock units and anti-roll bar|Twin radius arms, reversed lower wishbones and single top links with outboard coil spring/shock units|BRM|V8|naturally aspirated|Mid-engined, longitudinally-mounted||5-speed||Shell||Goodyear|M2B|M5A|1967 Race of Champions; (non-championship),; 1967 Monaco Grand Prix; (championship)|280 hp (206 kW)|1998|280|435.5|||||2|0|0|0||0|0
McLaren M5A|mclaren-m5a|mclaren|1967|1968|Robin Herd|Aluminium monocoque|Single top link with radius arm, lower wishbone, anti-roll bar and outboard coil spring/shock units|upper and lower wishbone, anti-roll bar and outboard coil spring/shock units|BRM|V12|naturally aspirated|Mid-engine, longitudinally mounted|Hewland|5-speed||Shell||Goodyear|M4B|M7A|1967 Canadian Grand Prix||2998|||||||11|0|0|0||0|0
McLaren M7A|mclaren-m7a|mclaren|1968|1969|Robin Herd; Gordon Coppuck|Aluminium alloy and magnesium alloy monocoque|Upper and lower top links, radius arms and outboard coilover springs and dampers|Lateral top links, twin radius arms, reversed wishbones and outboard coilover springs and dampers|Ford-Cosworth DFV|V8|naturally aspirated|Mid-engine, longitudinally mounted|Hewland DG300|5-speed||Shell (McLaren); Gulf (Anglo)||Goodyear (McLaren); Dunlop (Anglo)|McLaren M5A|McLaren M9A / McLaren M14A|1968 Spanish Grand Prix||2993|||||||22|4|0|0||0|0
McLaren MCL32|mclaren-mcl32|mclaren|2017|2017|Tim Goss ; Matt Morris ; Peter Prodromou ; Mark Ingham ; Stefano Sordo ; Guillaume Cattelani ; Barney Hassell ; Peter Schroder ; Yusuke Hasegawa|Carbon fibre composite survival cell|Carbon fibre wishbone and pushrod suspension elements operating inboard torsion bar and dampers (KONI dampers, springs and shock absorbers)|Carbon fibre wishbone and pullrod suspension elements operating inboard torsion bar and dampers (KONI dampers, springs and shock absorbers)|Honda RA617H|direct injection V6 turbocharged engine, limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse|Carbone Industrie brake-by-wire carbon discs and pads with Akebono steel calipers|BP Ultimate 94.25% unleaded gasoline + 5.75% biofuel|Castrol EDGE Supercar|Pirelli P Zero dry slick and Pirelli Cinturato treaded intermediate and wet tyres; Enkei 13" magnesium racing wheels|McLaren MP4-31|McLaren MCL33|2017 Australian Grand Prix|850 -||||3520||||20|0|0|1|0||
McLaren MCL33|mclaren-mcl33|mclaren|2018|2018|Tim Goss ; Matt Morris ; Peter Prodromou ; Mark Ingham ; Stefano Sordo ; Guillaume Cattelani|Carbon fibre composite monocoque with survival cell|Carbon fibre wishbone and pushrod suspension elements operating inboard torsion bar and dampers|Carbon fibre wishbone and pullrod suspension elements operating inboard torsion bar and dampers|Mecachrome-built and assembled Renault R.E.18|direct injection V6 turbocharged engine limited to 15,000 RPM||in a mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse|Akebono brake-by-wire system with carbon discs and pads|BP UltimateMcLaren signed a technical partnership with Petrobras that will see the company supply fuel and lubricants to the team from 2019. As part of the agreement, Petrobras branding appears on the MCL33, but the car uses BP fuels and Castrol lubricants.|Castrol EDGE Supercar|Pirelli P Zero dry slick and Pirelli Cinturato treaded intermediate and wet tyres; Enkei 13" magnesium racing wheels|McLaren MCL32|McLaren MCL34|2018 Australian Grand Prix||||733|3580|2000|2000||21|0|0|0|0||
McLaren MCL34|mclaren-mcl34|mclaren|2019|2019|Pat Fry ; Andrea Stella ; Peter Prodromou ; Mark Ingham ; Stefano Sordo ; Guillaume Cattelani|Carbon fibre composite monocoque with survival cell|Carbon fibre wishbone and pushrod suspension elements operating inboard torsion bar and dampers|Carbon fibre wishbone and pushrod suspension elements operating inboard torsion bar and dampers|Renault E-Tech 19|direct injection V6 turbocharged engine limited to 15,000 RPM||in a mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse|Akebono brake-by-wire system with 6-piston calipers, carbon discs and pads|BP|Castrol EDGE|Pirelli P Zero dry slick and Pirelli Cinturato treaded intermediate and wet tyres; Enkei 13" magnesium racing wheels|McLaren MCL33|McLaren MCL35|2019 Australian Grand Prix||||743|3580||||21|0|0|0|1||
McLaren MCL35|mclaren-mcl35+mclaren-mcl35m|mclaren|2020|2021|James Key|Carbon fibre composite with survival cell and honeycomb structure|Carbon fibre wishbone and pushrod suspension elements operating inboard torsion bar and damper system|Carbon fibre wishbone and pullrod suspension elements operating inboard torsion bar and damper system|2020: Renault E-Tech 20; 2021: Mercedes-AMG F1 M12 E Performance<hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||||McLaren|8-speed + 1 reverse|Akebono carbon discs and pads|||Pirelli P Zero (dry) and Pirelli Cinturato (intermediate and wet); Enkei 13" magnesium racing wheels|McLaren MCL34|McLaren MCL36|2020 Austrian||||746|||||39|1|1|5|7||
McLaren MCL36|mclaren-mcl36|mclaren|2022|2022|James Key|Carbon fibre composite with survival cell and honeycomb structure|Carbon fibre and steel pullrod suspension legs and elements operating inboard torsion bar and damper system|Carbon fibre wishbone and pushrod suspension elements operating inboard torsion bar and damper system|Mercedes-AMG F1 M13 E Performance<hr>|direct injection V6 turbocharged engine limited to 15,000 RPM||in a mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse|6-piston calipers, carbon ventilated discs/pads|||Pirelli P Zero (dry); Pirelli Cinturato (wet)|McLaren MCL35M|McLaren MCL60|2022 Bahrain Grand Prix||||795|||||22|||2|1||
McLaren MCL38|mclaren-mcl38|mclaren|2024|2024|Rob Marshall ; David Sanchez]]|Carbon fibre composite|Carbon fibre and titanium pull-rod suspension legs operating inboard torsion bar and damper system|Carbon fibre and titanium push-rod suspension legs operating inboard torsion bar and damper system|Mercedes-AMG F1 M15 E Performance<hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||||McLaren|8-speed + 1 reverse|6 piston calipers, carbon ventilated discs/pads|||Pirelli P Zero (dry); Pirelli Cinturato (wet)|McLaren MCL60|McLaren MCL39|2024 Bahrain Grand Prix|||||||||24|6|8|7|21||1
McLaren MCL39|mclaren-mcl39|mclaren|2025|2025|Rob Marshall|Carbon fibre composite|Carbon fibre and titanium pullrod suspension legs operating inboard torsion bar and damper system|Carbon fibre and titanium pushrod suspension legs operating inboard torsion bar and damper system|Mercedes-AMG F1 M16 E Performance<hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||||McLaren|8-speed + 1 reverse|6 piston calipers, carbon ventilated discs/pads|||Pirelli P Zero (dry)brPirelli Cinturato (wet)|McLaren MCL38|McLaren MCL40|2025 Australian Grand Prix|NNN hp||||||||24|14|13|12|34|1|1
McLaren MCL40|mclaren-mcl40|mclaren|2026|2026|Rob Marshall|Carbon fibre composite|||Mercedes-AMG F1 M17 E Performance<hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||||McLaren|8-speed + 1 reverse||Petronas|Motul|Pirelli Cinturato (Wet/Treaded)|McLaren MCL39||2026 Australian Grand Prix|NNN hp||||||||||||||
McLaren MCL60|mclaren-mcl60|mclaren|2023|2023|James Key (Technical Director, initial specification only); Peter Prodromou and Neil Houldey (updated specification)|Carbon fibre composite|Carbon fibre and titanium pullrod suspension legs operating inboard torsion bar and damper system|Carbon fibre and titanium pushrod suspension legs operating inboard torsion bar and damper system|Mercedes-AMG F1 M14 E Performance<hr>|direct injection V6 turbocharged engine limited to 15,000 RPM||in a mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse|6 piston calipers, carbon ventilated discs/pads|||Pirelli P Zero (dry); Pirelli Cinturato (wet)|McLaren MCL36|McLaren MCL38|2023 Bahrain Grand Prix||||798|||||22|||3|9||
McLaren MP4-16|mclaren-mp4-16|mclaren|2001|2001|Adrian Newey ; Neil Oatley ; Steve Nichols ; Matthew Jeffreys ; David North ; David Neilson ; Paddy Lowe ; Peter Prodromou ; Mario Illien ; Stuart Grove|Carbon-fibre monocoque|double wishbone, inboard torsion bar/damper system, pushrod, and bell crank-activated|double wishbone, inboard torsion bar/damper system, pushrod, and bell crank-activated|Mercedes-Benz FO110K|V10 (72°)|naturally aspirated||McLaren|7-Speed||Mobil Unleaded|Mobil 1|Bridgestone|MP4/15|MP4-17|2001 Australian Grand Prix|830 hp @ 17,800 RPM||830||||||17|4|2|6||0|0
McLaren MP4-17|mclaren-mp4-17+mclaren-mp4-17d|mclaren|2002|2003|Neil Oatley ; Adrian Newey ; Mike Coughlan ; Matthew Jeffreys ; Paddy Lowe ; Pat Fry ; Tim Goss ; Peter Prodromou ; Phil Adey ; Mario Illien ; Stuart Grove|Carbon-fibre monocoque|double wishbone, inboard torsion bar/damper system, pushrod and bell crank-activated|double wishbone, inboard torsion bar/damper system, pushrod and bell crank-activated|Mercedes-Benz FO110M / Mercedes-Benz FO110P|V10 (90º)|naturally-aspirated|mid-engine|McLaren|7-Speed||Mobil|Mobil 1|Michelin|MP4-16|MP4-18 / MP4-19|2002 Australian Grand Prix|845-850 hp @ 18,500 rpm||850||3100||||33|3|2|5|23|0|0
McLaren MP4-19|mclaren-mp4-19+mclaren-mp4-19b|mclaren|2004|2004|Neil Oatley ; Adrian Newey ; Paddy Lowe ; Pat Fry ; Nikolas Tombazis ; Tim Goss ; Mark Williams ; Mike Coughlan ; Peter Prodromou ; Mario Illien ; Werner Laurenz|Carbon-fibre monocoque|Inboard torsion bar/damper system operated by pushrod and bell crank with a double wishbone arrangement|Inboard torsion bar/damper system operated by pushrod and bell crank with a double wishbone arrangement|Mercedes-Benz FO110Q|V10 (90°)|naturally-aspirated|mid-engine|McLaren|7-speed||Exxon, Mobil|Mobil 1|Michelin|MP4-17D / MP4-18|MP4-20|2004 Australian Grand Prix|870 hp @ 18,500 rpm||870||3100||||18|1|1|2||0|0
McLaren MP4-20|mclaren-mp4-20|mclaren|2005|2005|Neil Oatley ; Adrian Newey ; Paddy Lowe ; Pat Fry ; Nikolas Tombazis ; Tim Goss ; Mark Williams ; Mike Coughlan ; Peter Prodromou ; Mario Illien ; Axel Wendorff|Moulded carbon fibre/aluminium honeycomb composite incorporating front and side impact structures|Inboard torsion bar/damper system operated by pushrod and bell crank with a double wishbone arrangement|As front|Mercedes-Benz FO110R|V10 (90º)|naturally-aspirated|mid-engined|McLaren|7 forward + 1 reverse||Mobil Synergy Unleaded race fuels|Mobil 1|Michelin|MP4-19B|MP4-21|2005 Australian Grand Prix|930 hp @ 19,000 rpm||930||3200||||19|10|7|12|18|0|0
McLaren MP4-21|mclaren-mp4-21|mclaren|2006|2006|Neil Oatley ; Adrian Newey ; Paddy Lowe ; Tim Goss ; Nikolas Tombazis ; Mark Williams ; Mike Coughlan ; Peter Prodromou ; Markus Duesmann ; Andy Cowell|Moulded carbon fibre monocoque incorporating front and side impact structures|Inboard torsion bar/damper system operated by pushrod and bell crank with a double wishbone arrangement|As front|Mercedes-Benz FO108S|V8|naturally-aspirated|mid-engined|McLaren|7-speed + 1 reverse||Mobil Synergy unleaded|Mobil 1|Michelin|MP4-20|MP4-22|2006 Bahrain Grand Prix|750 hp @ 19,000 rpm||750|605|3100||||18|0|3|3||0|0
McLaren MP4-22|mclaren-mp4-22|mclaren|2007|2007|Neil Oatley ; Paddy Lowe ; Pat Fry ; Mike Coughlan ; Mark Williams ; Simon Lacey ; Doug McKiernan ; Markus Duesmann ; Axel Wendorff|Moulded carbon fibre/aluminium honeycomb composite incorporating front and side-impact structures|Adjustable double wish-bone arrangement|As front|Mercedes-Benz FO 108T|V8|naturally-aspirated|mid-engined and longitudinally-mounted|McLaren|7-speed + 1 reverse||Mobil High Performance unleaded|Mobil 1|Bridgestone Potenza 4-line grooved slicks and treaded intermediate and wet tyres; Enkei 13" magnesium racing wheels|MP4-21|MP4-23|2007 Australian Grand Prix|810 hp @ 19,000 rpm||810|605|3100||||17|8|8|5||0|0
McLaren MP4-23|mclaren-mp4-23|mclaren|2008|2008|Neil Oatley ; Paddy Lowe ; Tim Goss ; Mark Williams ; Rob Taylor ; Simon Lacey ; Doug McKiernan ; Andy Cowell ; Axel Wendorff|Moulded carbon fibre/aluminium honeycomb composite incorporating front and side impact structures|Adjustable double wish-bone arrangement|Adjustable double wish-bone arrangement|Mercedes-Benz FO 108V|V8|Naturally aspirated|mid-engined|McLaren|7-speed + 1 reverse||Mobil Synergy Unleaded (5.75% bio fuel)|Mobil 1 (newly developed 2008 formula for lower friction and better wear resistance)|Bridgestone Potenza; Enkei Wheels Front & Rear|MP4-22|MP4-24|2008 Australian Grand Prix|810 hp @ 19,000 RPM (Limited)||810|605|3100||||18|6|8|3|13|1|0
McLaren MP4-24|mclaren-mp4-24|mclaren|2009|2009|Neil Oatley ; Paddy Lowe ; Pat Fry ; Mark Williams ; Andrew Bailey ; Rob Taylor ; Simon Lacey ; Doug McKiernan ; John Sutton ; Andy Cowell ; Axel Wendorff|Moulded carbon fibre / aluminium honeycomb composite incorporating front and side impact structures and integral safety fuel cell.|Inboard torsion bar/damper system operated by pushrod and bell crank with a double wishbone arrangement|As front.|Mercedes-Benz FO 108W|V8.|Naturally aspirated, 18,000 RPM limited, with KERS|mid-mounted.|McLaren|7-speed + 1 reverse||Mobil High Performance Unleaded (5.75% bio fuel)|Mobil 1|Bridgestone Potenza; Enkei wheels|McLaren MP4-23|McLaren MP4-25|2009 Australian Grand Prix|||||||||17|2|4|0|5||
McLaren MP4-25|mclaren-mp4-25|mclaren|2010|2010|Neil Oatley ; Paddy Lowe ; Tim Goss ; Mark Williams ; Andrew Bailey ; Luca Furbatto ; John Iley ; Doug McKiernan ; David Sanchez|Moulded carbon fibre honeycomb composite incorporating front and side impact structures and integral safety fuel cell|Inboard torsion bar / damper system operated by pushrod and bell crank with a double wishbone arrangement|as front|Mercedes-Benz FO 108X|V8 (90°).|Naturally aspirated, 18,000 RPM limited|mid-mounted.|McLaren|7-speed + 1 reverse||ExxonMobil High Performance Unleaded (5.75% bio fuel); Mobil Synergy Fuel System; Mobil 1 lubrication||Bridgestone Potenza; Enkei Wheels (front and rear): 13"|McLaren MP4-24|McLaren MP4-26|2010 Bahrain Grand Prix|NNN hp|||620|||||19|5|1|6|16||
McLaren MP4-26|mclaren-mp4-26|mclaren|2011|2011|Neil Oatley ; Paddy Lowe ; Tim Goss ; Mark Williams ; Andrew Bailey ; Luca Furbatto ; John Iley ; Doug McKiernan|Moulded carbon fibre honeycomb composite incorporating front and side impact structures and integral safety fuel cell|Inboard torsion bar / damper system operated by pushrod and bell crank with a double wishbone arrangement|as front, except operated by pullrod and bell crank with a double wishbone arrangement|Mercedes-Benz FO 108Y|V8 (90°).|Naturally aspirated, 18,000 RPM limited with KERS|mid-mounted.|McLaren Applied|7-speed + 1 reverse||ExxonMobil High Performance Unleaded (5.75% bio fuel); Mobil Synergy Fuel System|Mobil 1|Pirelli P Zero; Enkei wheels (front and rear): 13"|McLaren MP4-25|McLaren MP4-27|2011 Australian Grand Prix||||640|||||19|6|1|6|18||
McLaren MP4-27|mclaren-mp4-27|mclaren|2012|2012|Neil Oatley ; Paddy Lowe ; Tim Goss ; Mark Williams ; Andrew Bailey ; Sam Purvis ; John Iley ; Doug McKiernan|Moulded carbon fibre composite monocoque incorporating front and side impact structures|Inboard torsion bar/damper system operated by pushrod and bell crank with a double wishbone arrangement|Inboard torsion bar/damper system operated by pullrod and bell crank with a double wishbone arrangement|Mercedes-Benz FO 108Z|V8 (90°).|Naturally aspirated, 18,000 RPM limited with KERS|mid-mounted.|McLaren|7-speed + 1 reverse||ExxonMobil High Performance Unleaded (5.75% bio fuel); Mobil Synergy Fuel System; Mobil 1 lubrication||Pirelli P Zero (dry), Cinturato (wet); Enkei wheels (front and rear)|McLaren MP4-26|McLaren MP4-28|2012 Australian Grand Prix||||640|||||20|7|8|3|13||
McLaren MP4-28|mclaren-mp4-28|mclaren|2013|2013|Neil Oatley ; Paddy Lowe ; Tim Goss ; Mark Williams ; Mark Ingham ; Sam Purvis ; Marcin Budkowski ; Doug McKiernan|Moulded carbon fibre composite monocoque incorporating front and side impact structures with honeycomb structure|Inboard torsion bar/damper system operated by pullrod and bell crank with a double wishbone arrangement. KONI dampers|as front|Mercedes-Benz FO 108F|V8 (90°).|Naturally aspirated, 18,000 RPM limited with KERS|mid-mounted|McLaren|7-speed + 1 reverse||ExxonMobil High Performance Unleaded (5.75% bio fuel); Mobil Synergy Fuel System; Mobil 1 lubrication||Pirelli P Zero dry slick and Pirelli Cinturato treaded intermediate and wet tyres; Enkei 13" magnesium racing wheels|McLaren MP4-27|McLaren MP4-29|2013 Australian Grand Prix|||||||||19|0|0|1|0||
McLaren MP4-29|mclaren-mp4-29|mclaren|2014|2014|Neil Oatley ; Tim Goss ; Matt Morris ; Mark Williams ; Mark Ingham ; Sam Purvis ; Marcin Budkowski ; Doug McKiernan|Carbon-fibre composite incorporating driver cockpit controls and fuel cell|Carbon-fibre wishbone and pushrod suspension elements operating inboard torsion bar and damper system|Carbon-fibre wishbone and pull-rod suspension elements operating inboard torsion bar and damper system|Mercedes PU106A Hybrid Turbo|V6 (90°)|15,000 RPM limited|in a rear mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse||Exxon and Mobil High Performance Unleaded (5.75% bio fuel)|Mobil 1|Pirelli P Zero dry slick and Pirelli Cinturato treaded intermediate and wet tyres|McLaren MP4-28|McLaren MP4-30|2014 Australian Grand Prix|NNN hp|||691|3460||||19|0|0|0|2||
McLaren MP4-30|mclaren-mp4-30|mclaren|2015|2015|Tim Goss ; Matt Morris ; Peter Prodromou ; Mark Ingham ; Guillaume Cattelani ; Barney Hassell ; Peter Schroder ; Yasuhisa Arai|Carbon-fibre composite survival cell|Pushrod system with inboard torsion bars and dampers|Pullrod system with inboard torsion bars and dampers|Honda RA615H|V6 direct injection turbocharged engine, limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse|Akebono brake-by-wire carbon discs with steel calipers|Esso and Mobil High Performance Unleaded (5.75% bio fuel)|Mobil 1|Pirelli P Zero dry slick and Pirelli Cinturato treaded intermediate and wet tyres; Enkei 13" magnesium racing wheels|McLaren MP4-29|McLaren MP4-31|2015 Australian Grand Prix||||702|3520||||19|0|0|0|0||
McLaren MP4-31|mclaren-mp4-31|mclaren|2016|2016|Tim Goss ; Matt Morris ; Peter Prodromou ; Mark Ingham ; Guillaume Cattelani ; Barney Hassell ; Peter Schroder ; Yasuhisa Arai|Carbon-fibre composite survival cell|Carbon-fibre wishbone, pushrod suspension elements with inboard torsion bars and damper system (KONI dampers, springs and shock absorbers)|Carbon-fibre wishbone, pullrod suspension elements with inboard torsion bars and damper system (KONI dampers, springs and shock absorbers)|Honda RA616H|direct injection (jointly developed and supplied by Honda and Hitachi) V6 turbocharged engine, limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout|McLaren|8-speed + 1 reverse|Carbone Industrie brake-by-wire carbon discs and pads with Akebono steel calipers|Esso Synergy and Mobil High Performance Unleaded (5.75% bio fuel)|Mobil 1|Pirelli P Zero dry slick and Pirelli Cinturato treaded intermediate and wet tyres; Enkei 13" magnesium racing wheels|McLaren MP4-30|McLaren MCL32|2016 Australian Grand Prix||||702|3520||||21|0|0|1|0||
McLaren MP4/1|mclaren-mp4-1+mclaren-mp4-1b|mclaren|1981|1982|John Barnard ; Alan Jenkins ; John Baldwin ; Mike Lock ; Collin Smith ; Steve Nichols|Carbon fibre monocoque|||1981-1983: mid-engine, longitudinally mounted, Ford-Cosworth DFV, 2993 cc, NA, 90° V8; 1983: mid-engine, longitudinally mounted, TAG-Porsche TTE PO1, 1499 cc, turbo, 90° V6||||McLaren / Hewland FGA 400|5-speed||||Michelin|M30|MP4/2|1981 Monaco Grand Prix|510 hp @ 11,000 rpm (Cosworth DFY V8), 700 hp @ 11,500 rpm (TAG-Porsche V6 turbo)||510||||||43|6|0|5|||
McLaren MP4/10|mclaren-mp4-10+mclaren-mp4-10b+mclaren-mp4-10c|mclaren|1995|1995|Neil Oatley ; Steve Nichols ; Matthew Jeffreys ; David North ; David Neilson ; Paddy Lowe ; Henri Durand ; Mario Illien|Carbon fibre and honeycomb composite structure|Unequal length wishbones, pushrod, inboard spring/damper|Unequal length wishbones, pushrod, inboard spring/damper|Mercedes-Benz FO 110|75° V10|NA|mid-engine, longitudinally mounted|McLaren transverse|6-Speed||Mobil|Mobil 1|Goodyear|MP4/9|MP4/11|1995 Brazilian Grand Prix|690 bhp @ 15,600 rpm|2999|690||||||17|0|0|0||0|0
